Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Armaan😒,17-04-2021 15:55,00:05:49,Autoplayed: user action: User_Interaction; ,Baahubali 2: The Conclusion (Hindi Version),,Skyworth SW4K-5658-2017 Android TV Smart TV,00:10:05,00:10:05,IN (India)
Armaan😒,17-04-2021 15:21,00:15:33,,Tuesdays & Fridays,,DefaultWidevineAndroidPhone,00:16:12,00:16:12,IN (India)
Armaan😒,17-04-2021 15:20,00:01:09,,Tuesdays & Fridays_hook_primary_16x9,HOOK,DefaultWidevineAndroidPhone,00:01:09,00:01:09,IN (India)
Armaan😒,17-04-2021 15:17,00:02:03,,Trailer: Ajeeb Daastaans,TRAILER,DefaultWidevineAndroidPhone,00:02:03,00:02:03,IN (India)
Armaan😒,17-04-2021 13:46,02:00:56,Autoplayed: user action: User_Interaction; ,Baahubali: The Beginning (Hindi Version),,Skyworth SW4K-5658-2017 Android TV Smart TV,02:34:02,02:34:02,IN (India)
Armaan😒,17-04-2021 13:46,00:00:07,Autoplayed: user action: None; ,Baahubali 2: The Conclusion (Hindi Version),,Skyworth SW4K-5658-2017 Android TV Smart TV,00:00:07,Not latest view,IN (India)
Armaan😒,17-04-2021 13:46,00:00:02,Autoplayed: user action: None; ,Baahubali: The Beginning (Hindi Version),,Skyworth SW4K-5658-2017 Android TV Smart TV,00:00:02,Not latest view,IN (India)
Armaan😒,16-04-2021 17:48,01:32:56,,Har Kisse Ke Hisse: Kaamyaab,,Android DefaultWidevineL3Phone Android Phone,01:38:54,01:38:54,IN (India)
Armaan😒,16-04-2021 16:09,00:28:46,,The Serpent: Limited Series: Episode 8,,Android DefaultWidevineL3Phone Android Phone,00:32:30,00:32:30,IN (India)
Armaan😒,16-04-2021 15:15,00:52:33,,The Serpent: Limited Series: Episode 7,,Android DefaultWidevineL3Phone Android Phone,00:53:48,00:53:48,IN (India)
Armaan😒,16-04-2021 14:15,00:51:37,,The Serpent: Limited Series: Episode 6,,Android DefaultWidevineL3Phone Android Phone,00:54:58,00:54:58,IN (India)
Armaan😒,16-04-2021 14:12,00:02:45,,The Serpent: Limited Series: Episode 6,,Android DefaultWidevineL3Phone Android Phone,00:03:54,Not latest view,IN (India)
Armaan😒,16-04-2021 14:09,00:02:57,,The Serpent: Limited Series: Episode 5,,Android DefaultWidevineL3Phone Android Phone,00:55:43,00:55:43,IN (India)
Armaan😒,16-04-2021 14:09,00:00:05,,Season 1 Trailer: The Serpent,TRAILER,Android DefaultWidevineL3Phone Android Phone,00:00:05,00:00:05,IN (India)
Armaan😒,16-04-2021 13:39,00:03:10,,The Serpent: Limited Series: Episode 5,,Android DefaultWidevineL3Phone Android Phone,00:52:42,Not latest view,IN (India)
Armaan😒,16-04-2021 12:39,00:48:28,,The Serpent: Limited Series: Episode 5,,Android DefaultWidevineL3Phone Android Phone,00:49:33,Not latest view,IN (India)
Armaan😒,16-04-2021 11:43,00:55:49,,The Serpent: Limited Series: Episode 4,,Android DefaultWidevineL3Phone Android Phone,00:56:58,00:56:58,IN (India)
Armaan😒,16-04-2021 10:56,00:47:17,,The Serpent: Limited Series: Episode 3,,Android DefaultWidevineL3Phone Android Phone,00:56:55,00:56:55,IN (India)
Armaan😒,12-04-2021 11:48,00:00:10,Autoplayed: user action: None; ,Amit Tandon: Family Tandoncies (Trailer),TRAILER,Skyworth SW4K-5658-2017 Android TV Smart TV,00:00:10,00:00:10,IN (India)
Armaan😒,12-04-2021 11:48,00:00:07,Autoplayed: user action: None; ,Lucifer: Season 5 (Trailer),TRAILER,Skyworth SW4K-5658-2017 Android TV Smart TV,00:00:07,00:00:07,IN (India)
Armaan😒,12-04-2021 11:47,00:00:04,Autoplayed: user action: None; ,13 Reasons Why: Season 1 (Trailer),TRAILER,Skyworth SW4K-5658-2017 Android TV Smart TV,00:00:04,00:00:04,IN (India)
Armaan😒,12-04-2021 11:37,00:01:05,Autoplayed: user action: None; ,Inside the World’s Toughest Prisons: Season 3 (Trailer),TRAILER,Skyworth SW4K-5658-2017 Android TV Smart TV,00:01:05,00:01:05,IN (India)
